skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct,,,,,,,
6,fresher,medium,What is output of console.log(typeof NaN);,string,number,undefined,error,2,,,,,,,
6,fresher,medium,What is output of console.log([] == false);,FALSE,error,TRUE,undefined,3,,,,,,,
6,fresher,medium,What is output of console.log(0 == false);,FALSE,TRUE,error,undefined,2,,,,,,,
6,fresher,medium,What is output of console.log(1 == true);,error,FALSE,undefined,TRUE,4,,,,,,,
6,fresher,medium,What is output of console.log(null == undefined);,FALSE,TRUE,error,undefined,2,,,,,,,
6,junior,medium,What is output of console.log(5 + 10 + 'hello');,510hello,hello510,15hello,error,3,,,,,,,
6,junior,medium,What is output of console.log('hello' + 5 + 10);,hello510,15hello,510hello,error,1,,,,,,,
6,junior,medium,What is output of console.log(10 + 5 + '10px');,10510px,error,none,25px,4,,,,,,,
6,junior,medium,What is output of console.log(10 - 5 - 2);,7,3,5,error,2,,,,,,,
6,junior,medium,What is output of console.log(10 - 5 + 2);,5,3,7,error,3,,,,,,,
6,junior,hard,What is output of var x=10; function foo(){ console.log(x); var x=20;} foo();,10,undefined,20,error,2,,,,,,,
6,junior,hard,What is output of var x=10; function foo(){ console.log(x);} foo();,undefined,error,10,none,3,,,,,,,
6,junior,hard,What is output of console.log(x); var x=5;,5,error,undefined,none,3,,,,,,,
6,junior,hard,What is output of console.log(x); let x=5;,undefined,5,ReferenceError,none,3,,,,,,,
6,junior,hard,What is output of var x=5; var x=10; console.log(x);,5,10,error,none,2,,,,,,,
6,mid,medium,What is output of for(var i=0;i<3;i++){setTimeout(()=>console.log(i));},0 1 2,error,3 3 3,none,3,,,,,,,
6,mid,medium,What is output of for(let i=0;i<3;i++){setTimeout(()=>console.log(i));},0 1 2,3 3 3,error,none,1,,,,,,,
6,mid,medium,What is output of let x=5; let y=x++; console.log(y);,6,5,error,none,2,,,,,,,
6,mid,medium,What is output of let x=5; let y=++x; console.log(y);,6,5,error,none,1,,,,,,,
6,mid,hard,What is output of console.log({} == {});,TRUE,FALSE,error,none,2,,,,,,,
6,mid,hard,What is output of console.log([] == []);,TRUE,error,FALSE,none,3,,,,,,,
6,mid,hard,What is output of console.log([] == ![]);,FALSE,error,TRUE,none,3,,,,,,,
6,mid,hard,What is output of console.log(5 < 6 < 7);,FALSE,TRUE,error,none,2,,,,,,,
6,mid,hard,What is output of console.log(7 > 6 > 5);,FALSE,TRUE,error,none,1,,,,,,,
6,senior,medium,What is output of console.log(typeof null);,null,undefined,object,error,3,,,,,,,
6,senior,medium,What is output of console.log(typeof undefined);,undefined,null,object,error,1,,,,,,,
6,senior,medium,What is output of console.log(typeof function(){});,object,function,undefined,error,2,,,,,,,
6,senior,medium,What is output of console.log(typeof []);,array,undefined,object,error,3,,,,,,,
6,senior,medium,What is output of console.log(typeof {});,object,array,undefined,error,1,,,,,,,
6,senior,hard,What is output of Promise.resolve().then(()=>console.log(1)); console.log(2);,1 then 2,2 then 1,error,none,2,,,,,,,
6,senior,hard,What is output of setTimeout(()=>console.log(1)); console.log(2);,2 then 1,1 then 2,error,none,1,,,,,,,
6,senior,hard,What is output of async function f(){return 1;} f().then(console.log);,promise,1,error,none,2,,,,,,,
6,senior,hard,What is output of console.log(this); in browser global context,window,undefined,null,error,1,,,,,,,
6,senior,hard,What is output of console.log([] + {});,error,[object Object],undefined,null,2,,,,,,,
6,senior,hard,What is closure?,function loops,function remembers outer scope,function returns value,function executes,2,,,,,,,
6,senior,hard,What is event loop?,loops code,handles async tasks,handles data,handles UI,2,,,,,,,
6,senior,hard,What is microtask queue?,promise queue,setTimeout queue,loop queue,data queue,1,,,,,,,
6,senior,hard,What is debounce?,repeat function,delay loop,limit function calls,stop function,3,,,,,,,
6,senior,hard,What is throttle?,limit execution rate,stop execution,repeat execution,delay execution,1,,,,,,,
6,junior,hard,What is output of console.log(a); var a=5;,5,undefined,error,none,2,,,,,,,
6,junior,hard,What is output of console.log(a); let a=5;,undefined,5,ReferenceError,none,3,,,,,,,
6,junior,hard,What is output of function f(){return} console.log(f());,null,error,none,undefined,4,,,,,,,
6,junior,hard,What is output of console.log(typeof NaN === 'number');,FALSE,TRUE,error,none,2,,,,,,,
6,junior,hard,What is output of console.log(NaN === NaN);,TRUE,FALSE,error,none,2,,,,,,,
6,mid,medium,What is output of console.log(0.1 + 0.2 === 0.3);,TRUE,FALSE,error,none,2,,,,,,,
6,mid,medium,What is output of console.log(1 < 2 < 3);,TRUE,FALSE,error,none,1,,,,,,,
6,mid,medium,What is output of console.log(3 > 2 > 1);,FALSE,TRUE,error,none,1,,,,,,,
6,mid,medium,What is output of console.log('hello' || 'world');,world,error,hello,none,3,,,,,,,
6,mid,medium,What is output of console.log(null || 'hello');,null,hello,error,none,2,,,,,,,
6,mid,hard,What is output of console.log(false && 'hello');,hello,FALSE,error,none,2,,,,,,,
6,mid,hard,What is output of console.log(true && 'hello');,TRUE,error,hello,none,3,,,,,,,
6,mid,hard,What is output of console.log('hello' && 'world');,hello,world,error,none,2,,,,,,,
6,mid,hard,What is output of console.log('hello' && false);,FALSE,hello,error,none,1,,,,,,,
6,mid,hard,What is output of console.log([] + []);,undefined,empty string,error,none,2,,,,,,,
6,senior,medium,What is output of console.log({} + []);,0,error,[object Object],none,3,,,,,,,
6,senior,medium,What is output of console.log([] + {});,[object Object],0,error,none,1,,,,,,,
6,senior,medium,What is output of console.log([1] + [2]);,3,error,12,none,3,,,,,,,
6,senior,medium,What is output of console.log(!!'hello');,FALSE,TRUE,error,none,2,,,,,,,
6,senior,medium,What is output of console.log(!!0);,TRUE,FALSE,error,none,2,,,,,,,
6,senior,hard,What is output of Promise.resolve(1).then(x=>x+1).then(console.log);,1,2,error,none,2,,,,,,,
6,senior,hard,What is output of Promise.resolve().then(()=>console.log('A')); console.log('B');,B then A,A then B,error,none,1,,,,,,,
6,senior,hard,What is output of setTimeout(()=>console.log('A')0); console.log('B');,A then B,B then A,error,none,2,,,,,,,
6,senior,hard,What is output of async function f(){return 5;} f().then(console.log);,promise,5,error,none,2,,,,,,,
6,senior,hard,What is output of console.log(typeof Promise);,object,undefined,function,error,3,,,,,,,
6,mid,hard,What is closure in JS?,function without scope,loop function,function with preserved scope,data function,3,,,,,,,
6,mid,hard,What is hoisting?,variable deleted,variable lifted,variable looped,variable ignored,2,,,,,,,
6,mid,hard,What is temporal dead zone?,error handling,access before init,loop error,data error,2,,,,,,,
6,mid,hard,What is prototype?,function inheritance,data inheritance,object inheritance,file inheritance,3,,,,,,,
6,mid,hard,What is this keyword?,loop reference,context reference,data reference,file reference,2,,,,,,,
6,senior,hard,What is bind?,set loop,set data,set this manually,set function,3,,,,,,,
6,senior,hard,What is call?,loop invoke,invoke with context,data invoke,file invoke,2,,,,,,,
6,senior,hard,What is apply?,invoke with args array,loop invoke,data invoke,file invoke,1,,,,,,,
6,senior,hard,What is currying?,data chaining,function chaining,file chaining,loop chaining,2,,,,,,,
6,senior,hard,What is memoization?,data cache,file cache,cache results,loop cache,3,,,,,,,
